Turno,Sol,Hora,Cenário,Score Saúde (%),Baterias (%),Evento,Diagnóstico,Ações Recomendadas
1,1,08:00:00,1,84,85.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
2,1,12:00:00,1,84,86.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
3,1,16:00:00,1,84,87.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
4,1,20:00:00,1,84,86.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
5,1,00:00:00,1,84,85.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
6,1,04:00:00,1,83,84.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
7,2,08:00:00,1,83,84.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
8,2,12:00:00,1,84,85.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
9,2,16:00:00,1,84,86.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
10,2,20:00:00,1,84,85.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
11,2,00:00:00,1,83,84.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
12,2,04:00:00,1,83,83.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
13,3,08:00:00,1,83,84.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
14,3,12:00:00,1,84,85.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
15,3,16:00:00,1,84,85.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
16,3,20:00:00,1,83,84.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
17,3,00:00:00,1,83,82.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
18,3,04:00:00,1,82,81.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
19,4,08:00:00,1,82,82.0,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
20,4,12:00:00,1,83,83.5,nenhum,"{'energia': 'normal', 'comunicacao': 'normal', 'suporte_vida': 'normal', 'habitacao': 'normal', 'laboratorio': 'normal', 'suporte_medico': 'normal'}",-> Sistemas 100% estáveis. Manter operações de rotina.
